日期,首例死亡日期,1月11日,2月1日,3月1日,4月1日,5月1日,6月1日,7月1日,8月1日,9月1日,10月1日,11月1日,12月1日
保加利亞,2020年3月12日,0,0,0,8,66,140,230,383,629,825,"1,279","4,035"
突尼西亞,2020年3月21日,0,0,0,10,41,48,50,50,77,246,"1,317","3,260"
巴拿馬,2020年3月11日,0,0,0,24,178,330,620,"1,397","1,995","2,364","2,688","3,060"
奧地利,2020年3月13日,0,0,0,128,584,668,705,718,733,799,"1,097","2,983"
宏都拉斯,2020年3月27日,0,0,0,2,71,201,485,"1,312","1,858","2,323","2,669","2,909"
以色列,2020年3月21日,0,0,0,21,223,285,319,493,961,"1,543","2,517","2,864"
約旦,2020年3月28日,0,0,0,5,8,9,9,11,15,61,829,"2,751"
波士尼亞與赫塞哥維納,2020年3月22日,0,0,0,12,68,152,185,324,603,849,"1,234","2,681"
哈薩克,2020年3月28日,0,0,0,2,25,41,188,793,"1,878","2,075","2,251","2,477"
阿爾及利亞,2020年3月12日,0,0,0,35,450,653,912,"1,210","1,510","1,736","1,956","2,431"
希臘,2020年3月12日,0,0,0,49,140,175,192,206,266,391,626,"2,406"
多明尼加,2020年3月17日,0,0,0,51,301,502,747,"1,160","1,710","2,105","2,245","2,331"
摩爾多瓦,2020年3月21日,0,0,0,3,119,295,547,778,995,"1,320","1,785","2,304"
亞美尼亞,2020年3月27日,0,0,0,3,33,139,453,749,881,963,"1,363","2,193"
日本,2020年2月14日,0,0,5,57,432,892,974,"1,011","1,296","1,571","1,766","2,139"
愛爾蘭,2020年3月12日,0,0,0,71,"1,232","1,652","1,736","1,763","1,777","1,804","1,913","2,053"
緬甸,2020年4月1日,0,0,0,1,6,6,6,6,6,310,"1,237","1,918"
克羅埃西亞,2020年3月25日,0,0,0,6,69,103,107,145,186,280,546,"1,786"
阿富汗,2020年3月23日,0,0,0,4,64,265,774,"1,283","1,406","1,458","1,536","1,774"
北馬其頓,2020年3月23日,0,0,0,9,77,133,302,486,603,739,994,"1,763"
